island,species,year,source,lon,lat
Oahu,Cheilanthes_viridis,2021,iNaturalist,-157.7542533,21.31341803
Oahu,Cheilanthes_viridis,2021,iNaturalist,-158.20725,21.50569167
Oahu,Cheilanthes_viridis,2021,iNaturalist,-158.193475,21.50673889
Oahu,Cheilanthes_viridis,2021,iNaturalist,-158.1963861,21.50752778
Oahu,Cheilanthes_viridis,2021,iNaturalist,-158.1983194,21.50865
Oahu,Cheilanthes_viridis,2021,iNaturalist,-157.8557889,21.364725
Oahu,Cheilanthes_viridis,2021,iNaturalist,-157.8620222,21.35338889
Oahu,Cheilanthes_viridis,2021,iNaturalist,-157.7822778,21.30131389
Oahu,Cheilanthes_viridis,2021,iNaturalist,-157.7459083,21.29901389
Oahu,Cheilanthes_viridis,2021,iNaturalist,-157.7376194,21.30081944
Oahu,Cheilanthes_viridis,2021,iNaturalist,-158.2172667,21.54857222
Oahu,Cheilanthes_viridis,2021,iNaturalist,-157.9435528,21.42216667
Hawaii,Cheilanthes_viridis,2022,iNaturalist,-155.5991533,20.1238695
Oahu,Cheilanthes_viridis,2022,iNaturalist,-157.7241821,21.3051548
Oahu,Cheilanthes_viridis,2021,iNaturalist,-157.72469,21.30785
Oahu,Cheilanthes_viridis,2022,iNaturalist,-157.7843783,21.298945
Oahu,Cheilanthes_viridis,2022,iNaturalist,-157.7830667,21.30063833
Oahu,Cheilanthes_viridis,2022,iNaturalist,-158.182852,21.544426
Oahu,Cheilanthes_viridis,2022,iNaturalist,-158.113364,21.37900197
Kauai,Cheilanthes_viridis,2022,iNaturalist,-159.6530783,22.05244167
Kauai,Cheilanthes_viridis,2022,iNaturalist,-159.6588283,22.05086833
Kauai,Cheilanthes_viridis,2022,iNaturalist,-159.6594383,22.05140281
Oahu,Cheilanthes_viridis,2013,iNaturalist,-157.89059,21.39908894
Oahu,Cheilanthes_viridis,2021,iNaturalist,-157.7452086,21.36820347
Oahu,Cheilanthes_viridis,2021,iNaturalist,-158.204701,21.507133
Oahu,Cheilanthes_viridis,2021,iNaturalist,-158.2067617,21.50995
Oahu,Cheilanthes_viridis,2020,iNaturalist,-158.0453508,21.66313709
Kauai,Cheilanthes_viridis,2021,iNaturalist,-159.62033,22.09292667
Oahu,Cheilanthes_viridis,2019,iNaturalist,-157.9480278,21.41922222
Kauai,Cheilanthes_viridis,2018,Pteridoportal,-159.69,22.13
Oahu,Cheilanthes_viridis,2018,Pteridoportal,-157.73613,21.29364
Oahu,Cheilanthes_viridis,2018,Pteridoportal,-157.73523,21.29048
Oahu,Cheilanthes_viridis,2008,Pteridoportal,-157.7275,21.312778
Lanai,Cheilanthes_viridis,2006,Pteridoportal,-156.903305,20.847808
Lanai,Cheilanthes_viridis,2006,Pteridoportal,-156.903,20.8478
Maui,Cheilanthes_viridis,1962,Pteridoportal,-156.6,21
Maui,Cheilanthes_viridis,1999,Pteridoportal,-156.033,20.7
Hawaii,Cheilanthes_viridis,1971,Pteridoportal,-155.612408,20.092597
Kauai,Cheilanthes_viridis,2018,BISH,-159.69,22.13
Maui,Cheilanthes_viridis,1999,BISH,-156.033333,20.7
